Description,Brand,Quantity,Retail,"Extended Retail"
"Instax Mini Evo Instant Film Camera - Black",Fujifilm,1,$199.99,$199.99
"Sony Extra Bass Around Ear Wireless Headphone - Black (MDRXB950B1)",Sony,1,$179.99,$179.99
"SteelSeries Arctis Nova 7 Wireless Gaming Headset for PC",SteelSeries,1,$179.99,$179.99
"Turtle Beach Stealth 600 Gen 2 MAX Wireless Gaming Headsets for Xbox Series X|S/Xbox One/PlayStation 4/5/Nintendo Switch/PC - Midnight Red","Turtle Beach",1,$119.99,$119.99
"Anker MagGo 10000mAh Black Power Bank with LED Screen",Anker,1,$89.99,$89.99
"JLab Studio Bluetooth Wireless On-Ear Headphones - Black",JLab,4,$19.99,$79.96
"DualShock 4 Wireless Controller for PlayStation 4 - Black",PlayStation,1,$59.99,$59.99
"The Alfred Hitchcock Classics Collection (4K/UHD)",,1,$54.99,$54.99
"Speck Apple iPhone 15 Pro Presidio 2 Pro with MagSafe - Coastal Blue",Speck,1,$49.99,$49.99
"Assorted Electronics",,1,$49.99,$49.99
"True Bluetooth Wireless Earbuds - heydayâ„¢ Warm Gray",Heyday,1,$49.99,$49.99
"Speck Apple iPhone 15/iPhone 14/iPhone 13 Presidio 2 Grip Case with MagSafe - Black",Speck,1,$49.99,$49.99
"The Fall Guy (4K/UHD)","Universal Home Video",1,$33.99,$33.99
"JLab Go Air Sport True Wireless Bluetooth Earbuds - Black",JLab,1,$29.99,$29.99
"Logitech Brio 100 1080p Webcam - Black",Logitech,1,$24.99,$24.99
" "," ",18," ","$1,253.82"
